Name,Bitcoin,Ethereum,Litecoin,XRP,Dogecoin,Monero,Stellar,Cardano,Chainlink,Solana
Bitcoin,1.0,0.9041473285726191,0.8069487547058707,0.6129312112358691,0.6482016726654103,0.7474317315635731,0.7613178734714677,0.8550171034508134,0.933914830783299,0.7168565883134324
Ethereum,0.9041473285726191,1.0,0.8312737194506661,0.6996983896499799,0.8377405913521104,0.815673431301272,0.8208831820004977,0.9607931291788389,0.8629132868713238,0.9272814722371306
Litecoin,0.8069487547058707,0.8312737194506661,1.0,0.8728364422786713,0.5406306165433122,0.9595865220444941,0.8934805460822829,0.7666196610779219,0.5702159347421136,0.8055455723141884
XRP,0.6129312112358691,0.6996983896499799,0.8728364422786713,1.0,0.48878122483363745,0.907294195830041,0.8946070838335819,0.6491654261338912,0.3222764899680571,0.8856540231426212
Dogecoin,0.6482016726654103,0.8377405913521104,0.5406306165433122,0.48878122483363745,1.0,0.5340482266765043,0.5313075053104459,0.830918877868842,0.7305751256326236,0.9299617324712642
Monero,0.7474317315635731,0.815673431301272,0.9595865220444941,0.907294195830041,0.5340482266765043,1.0,0.9084302799313863,0.7545592932652176,0.502060770425406,0.8966290844565258
Stellar,0.7613178734714677,0.8208831820004977,0.8934805460822829,0.8946070838335819,0.5313075053104459,0.9084302799313863,1.0,0.7838381660208387,0.5404288975874739,0.7947871838982222
Cardano,0.8550171034508134,0.9607931291788389,0.7666196610779219,0.6491654261338912,0.830918877868842,0.7545592932652176,0.7838381660208387,1.0,0.81050362094412,0.930088787558542
Chainlink,0.933914830783299,0.8629132868713238,0.5702159347421136,0.3222764899680571,0.7305751256326236,0.502060770425406,0.5404288975874739,0.81050362094412,1.0,0.7930015779850467
Solana,0.7168565883134324,0.9272814722371306,0.8055455723141884,0.8856540231426212,0.9299617324712642,0.8966290844565258,0.7947871838982222,0.930088787558542,0.7930015779850467,1.0
